,gini,lwr.ci,upr.ci,addition,Gini_drop,CI_gap,drop_perc
Gini_TOT,0.453,0.408,0.514,0,0,0.106,0
Gini_TOT_x_max,0.453,0.406,0.514,5,0,0.108,0
Gini_TOT1,0.396,0.358,0.442,1,0.057,0.084,12.58
Gini_TOT2,0.351,0.32,0.39,2,0.045,0.07,9.93
Gini_TOT3,0.315,0.29,0.349,3,0.036,0.059,7.95
Gini_TOT4,0.286,0.263,0.316,4,0.029,0.053,6.4
Gini_TOT5,0.262,0.242,0.29,5,0.024,0.048,5.3
Gini_TOT6,0.242,0.222,0.265,6,0.02,0.043,4.42
Gini_TOT7,0.224,0.206,0.248,7,0.018,0.042,3.97
Gini_TOT8,0.209,0.194,0.232,8,0.015,0.038,3.31
Gini_TOT9,0.196,0.181,0.217,9,0.013,0.036,2.87
Gini_TOT10,0.184,0.171,0.205,10,0.012,0.034,2.65
