fid	id	site	resource	country	size	reference
"1"		Volhynian and Podolian raw flint deposits	flint (Volhynian-Podolian)			
"2"		Dniester raw material deposits	flint			
"3"		Middle Neman area	flint			
"4"		Uzh river raw material deposits	flint			
"5"		Middle Dnieper raw material deposits Kanev type flint	flint			
"6"		Horyn River deposit	rock (basalt)			
"7"		Baltic amber shallow deposits	amber			
"8"		Krzemionki flint mining region (Swietokrzyzkie mountains)	flint (Krzemionki)	Poland		
"9"		Kristianstad	flint (Kristianstad)	Sweden		Vang Petersen 2007: 23
"10"		Southern Scania	flint (Danien)	Sweden		Vang Petersen 2007: 23
"11"		Amager	flint (Danien)	Denmark		Vang Petersen 2007: 23
"12"		Amager	flint (Danien)	Denmark		Vang Petersen 2007: 23
"13"		Copenhagen	flint (Danien)	Denmark		Vang Petersen 2007: 23
"14"		Stevns	flint (Danien)	Denmark		Vang Petersen 2007: 23
"15"		Møn-Falster	flint (Senonian)	Denmark		Vang Petersen 2007: 23
"16"		Rügen	flint (Senonian)			Vang Petersen 2007: 23
"17"		Klintholm	flint (Danien)	Denmark		Vang Petersen 2007: 23
"18"		Djursland-Jutland	flint (Danien)	Denmark		Vang Petersen 2007: 23
"19"		Thy	flint (Danien)	Denmark		Vang Petersen 2007: 23
"20"		Limfjord	flint (Senonian)	Denmark		Vang Petersen 2007: 23
"21"		Jutland	flint (Danien)	Denmark		Vang Petersen 2007: 23
"22"		Jutland	flint (Senonian)	Denmark		Vang Petersen 2007: 23
"23"		Kraków-Czestochowa	chipped stone (silicites of the Kraków-Czestochowa Jurassic)			Kolar 2018
"24"		Poland	chipped stone (chocolate)	Poland		Kolar 2018
"25"		Moravia	chipped stone (cretaceous spongolites)	Czech Republic		Kolar 2018
"26"		Moravia	chipped stone (cretaceous spongolites)	Czech Republic		Kolar 2018
"27"		Moravia	chipped stone (radiolarites)			Kolar 2018
"28"		Moravia	chipped stone (radiolarites)			Kolar 2018
"29"			chipped stone (silicites of glacigene sediments)			Kolar 2018
"30"		Stránská skála Hill	chipped stone (chert - Stránská skála)	Moravia		Kolar 2018
"31"		Starý Hrozenkov (in the White Carpathians)	rock (basalt)	Czech Republic		Kolar 2018: 157
"32"		Jizera Mountains	"rock (metamorphic - metabasite, greenschist, amphibolites)"	Czech Republic		Kolar 2018: 158
"33"		Želešice	rock (metabasite)	Czech Republic		Kolar 2018: 158
"34"		Carpathian Flysch belt (Krosno-nappe group)	"rock (sandstone, siltstone, claystone)"			Kolar 2018: Lexa et al. 2000
"35"		Carpathian Flysch belt (Magura nappe-group)	"rock (sandstone, siltstone, claystone)"			"Kolar 2018: 158; Lexa et al. 2000"
"36"		Gogolów-Jordanów massif (Mount Ślęża)	rock (gabbro)			Kolar 2018: 158
"37"		Opava region	rock (basalt)			Kolar 2018: fig 132
"38"		Zálesí u Javorníka and Lądek Zdroj	rock (basalt)			Kolar 2018: fig. 132
"39"		Ligota Tułowicka and Góra Św. Anny	rock (basalt)	Poland		Kolar 2018: fig. 132
"40"		"Moravský Krumlov and Jasenice, gravels of Jihlava River"	rock (amphibolite)	Moravia		Kolar 2018: fig. 133
"41"		Moravia	rock (vulcanites - porphyritic microdiorite and diorite)	Moravia		Kolar 2018: fig. 135
"42"		Zábřeh Highlands	rock (spilite)	Moravia		Kolar 2018: 161
"43"		Nízký Jeseník Mountains	rock (spilite)	Moravia		Kolar 2018: 161
"44"		Barrande	rock (spilite)	Bohemia		Kolar 2018: 161
"45"		Rudice Plateau	rock (calcareous sandstone and siltstone)	Moravia		Kolar 2018: 163
"46"		Mátra Mountains	quartzite	Hungary		flintsource.net
"47"		Podhale basin	radiolarite			flintsource.net
