Culture	Country	Period	Period_specific	Site	Region	Houses_for_the_living_ID	house_ID	house_m2	house type	Reference
TRB	Denmark	EN	EN II	Alstedgaard	Zealand		house IV	40	two-aisled	Sørensen 2014
TRB	Denmark	EN	EN II	Alstedgaard	Zealand		house III	18	two-aisled	Sørensen 2014
TRB	Sweden	EN	EN II	Brunneby	Östergötland			38	two-aisled	Sørensen 2014
TRB	Denmark	EN	EN II	Bygholm Nørremark	Eastern Jutland			45	two-aisled	Sørensen 2014
TRB	Denmark	EN	EN II	Damsbo	Svendborg Amt	152	A2	70	two-aisled	Sørensen 2014
TRB	Germany	EN	EN II	Engter	Northwestern Germany			78	two-aisled	Sørensen 2014
TRB	Denmark	EN	EN II	Esrogård 30	Frederiksborg Amt	1		55	two-aisled	Houses for the living catalogue
TRB	Denmark	EN	EN II	Lindalslund	Fyn		K4	72	two-aisled	Sørensen 2014
TRB	Denmark	EN	EN II	Lindalslund	Fyn		K1	63	two-aisled	Sørensen 2014
TRB	Sweden	EN	EN II	Saxtorp	Scania		house 17	120	two-aisled	Sørensen 2014
TRB	Denmark	EN	EN II	Strandby Gammeltoft Syd	Fyn			50	two-aisled	Sørensen 2014
TRB	Denmark	EN	EN II (Virum-style pottery)	Ornehus	Stevns, Zealand	99		96	two-aisled	Houses for the living catalogue
TRB	Denmark	EN	EN II (Virum-style pottery)	Lerbjerget	Præstø Amt	101	house 1	56.12	two-aisled	Sørensen 2014
