ID;length;length_mean;width;width_mean;C14_date;Site;Period;Culture;Country;reference
GGR1;26;26;4-8;6;2450/2350-2150 cal BCE;Klobikau, Saalekreis, Germany;BBC;BBC;Germany;Balfanz et al. 2015
GGR2;17;17;4-7;5.5;2450/2350-2150 cal BCE;Klobikau, Saalekreis, Germany;BBC;BBC;Germany;Balfanz et al. 2015
GGR3;13.2;13.2;4.6-5.4;5;2450/2350-2150 cal BCE;Klobikau, Saalekreis, Germany;BBC;BBC;Germany;Balfanz et al. 2015
cort_haus2;15.8;15.8;3.8-4.6;4.2;;Cortaillod/Sur les Rochettes-Est, Switzerland;BBC;BBC;Switzerland;Balfanz et al. 2015
cort_haus1;12.2;12.2;3-4.4;3.7;;Cortaillod/Sur les Rochettes-Est, Switzerland;BBC;BBC;Switzerland;Balfanz et al. 2015
cort_haus3;12.8;12.8;3.6-4.4;4;;Cortaillod/Sur les Rochettes-Est, Switzerland;BBC;BBC;Switzerland;Balfanz et al. 2015
cort_haus4;14.8;14.8;3-4.4;3.7;;Cortaillod/Sur les Rochettes-Est, Switzerland;BBC;BBC;Switzerland;Balfanz et al. 2015
cort_haus6;13.6;13.6;2.8-3.8;3.3;;Cortaillod/Sur les Rochettes-Est, Switzerland;BBC;BBC;Switzerland;Balfanz et al. 2015
cort_haus5;16.8;16.8;4.4-5;4.75;;Cortaillod/Sur les Rochettes-Est, Switzerland;BBC;BBC;Switzerland;Balfanz et al. 2015
cort_haus7;13.8;13.8;3-4.8;3.9;;Cortaillod/Sur les Rochettes-Est, Switzerland;BBC;BBC;Switzerland;Balfanz et al. 2015
Le Serre 1;14.5-18;16.25;4.5-5;4.75;2300-2200 calBCE;Rognac “Le Serre 1”, Rhône Valley, France;BBC;BBC;France;Balfanz et al. 2015, Vital 2005
Castano1;9-10.5;9.75;4;4;;Stellina, Castenaso, Bologna, Italy;BBC;BBC;Italy;Balfanz et al. 2015, Caddedu et al. 2011, Bernabó et al. 2013: 265, fig. 20
Castano2;7.5-8.5;8;3.3;3.3;;Stellina, Castenaso, Bologna, Italy;BBC;BBC;Italy;Balfanz et al. 2015, Caddedu et al. 2011, Bernabó et al. 2013: 265, fig. 20
Castano3 (check original publication);;;;;;Stellina, Castenaso, Bologna, Italy;BBC;BBC;Italy;Balfanz et al. 2015, Caddedu et al. 2011, Bernabó et al. 2013: 265, fig. 20
Molenaarsgraaf;17;17;4-6;5;;Molenaarsgraaf, prov. Zuid-Holland, Netherlands;BBC;BBC;Netherlands;Balfanz et al. 2015
Zeewijk;21.6;21.6;5.7-7.2;6.45;;Zeewijk, prov. Noord-Holland, Netherlands;BBC;BBC;Netherlands;Balfanz et al. 2015
SH_haus1;18;18;5-7;6;;Schleenhain, Northwest Saxony, Germany;BBC;BBC;Germany;Schmalfuss 2018
SH_haus3;18;18;4.5-6.5;5.5;;Schleenhain, Northwest Saxony, Germany;BBC;BBC;Germany;Schmalfuss 2018
SH_haus13;12.5;12.5;4-6;5;;Schleenhain, Northwest Saxony, Germany;BBC;BBC;Germany;Schmalfuss 2018
House 24;22.8;22.8;5.8-7.5;6.65;;Pömmelte, Slazlandkreis, Germany;BBC;BBC;Germany;Jurkénas and Spatzier 2019
House 25;13.7;13.7;4.4-7.9;6.15;2350-2200 cal BCE;Pömmelte, Slazlandkreis, Germany;BBC;BBC;Germany;Jurkénas and Spatzier 2019
