site;Region;Country;date_relative;rel_data_basis;Period_specific;Period;Culture;Cultural affiliation;house_m2;reference
Svågertorps industriområde U (64);Malmö region, Scania;Sweden;2860–2490 (1s);;MN B;CWC;CWC;BAC;65;Sparrewohn et al. 2020
Vintrie IP (66);Malmö region, Scania;Sweden;2570–2460 (1s);;MN B?;CWC;CWC;BAC;105;Sparrewohn et al. 2021
Lockarp 7A (72);Malmö region, Scania;Sweden;2570–2340 (1s);;late MN B?;CWC;CWC;BAC;45;Sparrewohn et al. 2021
Lockarp 7E (82);Malmö region, Scania;Sweden;2490–2200 (1s);;late MN B-early LN;CWC;CWC;BAC;90;Sparrewohn et al. 2022
Lockarp 7E (82);Malmö region, Scania;Sweden;2570–2290 (1s);;late MN B;CWC;CWC;BAC;120;Sparrewohn et al. 2022
Hemmed Kirke;Jutland;Denmark;2450-2350 BCE;;MN BIII;CWC;CWC;late SGC (Upper Grave Period);96;Sparrewohn et al. 2023
Tindbæk Hestehave;Nørre Å valley, Viborg region, Jutland;Denmark;2566-2346 (2s);;MN BII-III;CWC;CWC;late SGC;31;Sparrewohn et al. 2023
Solbakkegård IV;SW Jutland;Denmark;;;late MNB/LNI;CWC;CWC;late SGC/LNI;79.75;Sparrewohn et al. 2024
Solbakkegård IV;SW Jutland;Denmark;;;late MNB/LNI;CWC;CWC;late SGC/LNI;78;Sparrewohn et al. 2024
Enderupskov;Haderslev, South Jutland;Denmark;;single rim sherd with cord impressions;MNB;CWC;CWC;SGC;131.92;Sparrewohn et al. 2025
Salzmünde Saalekreis_1;Saale, Germany;Germany;;;European Late Neolithic;CWC;CWC;CWC;94.5;Moser 2019
Zeewijk_West;Zeewijk, Netherlands;Netherlands;;;CWC;CWC;CWC;CWC;52;Garcia 2017: 159 (thesis)
Zeewijk-East;Zeewijk, Netherlands;Netherlands;;“ritual or ceremonic function”;CWC;CWC;CWC;CWC;117.7;Garcia 2017: 159-160 (thesis)
Gimritz House 1;Saalekreis, Germany;Germany;2461-2209 cal BCE (2s);7.78x15.56;CWC;CWC;CWC;CWC (late);121.02;Friederich 2019
Gimritz House 4;Saalekreis, Germany;Germany;2461-2209 cal BCE (2s);13.33x10.00;CWC;CWC;CWC;CWC (late);133.3;Friederich 2019
Gimritz House 6;Saalekreis, Germany;Germany;2461-2209 cal BCE (2s);16.67x7.50;CWC;CWC;CWC;CWC (late);125.03;Friederich 2019
Gimritz House 13;Saalekreis, Germany;Germany;2461-2209 cal BCE (2s);12.22x7.22;CWC;CWC;CWC;CWC (late);88.23;Friederich 2019
Gimritz House 17;Saalekreis, Germany;Germany;2461-2209 cal BCE (2s);10.83x4.9;CWC;CWC;CWC;CWC (late);53.07;Friederich 2019
Gimritz House 23;Saalekreis, Germany;Germany;2461-2209 cal BCE (2s);9.44x4.44;CWC;CWC;CWC;CWC (late);41.91;Friederich 2019
Gimritz House 25;Saalekreis, Germany;Germany;2461-2209 cal BCE (2s);18.61x8.33;CWC;CWC;CWC;CWC (late);155.02;Friederich 2019
Gimritz House 26;Saalekreis, Germany;Germany;2461-2209 cal BCE (2s);13.89x7.22;CWC;CWC;CWC;CWC (late);100.29;Friederich 2019
Wennungen House 2;Burgenlandkreis, Germany;Germany;2468-2305 cal BCE (2s);18.33x10.56;CWC;CWC;CWC;CWC (late);193.57;Friederich 2019
Wennungen House 4;Burgenlandkreis, Germany;Germany;2468-2305 cal BCE (2s);21.39x10.17;CWC;CWC;CWC;CWC (late);217.54;Friederich 2019
Oechlitz;Burgenlandkreis, Germany;Germany;;18.33x6.67;CWC;CWC;CWC;CWC;122.26;Friederich 2019
Hardisleben House 1;Landkreis Sömerda, Germany;Germany;;18.33x8.89;CWC;CWC;CWC;CWC;162.95;Friederich 2019
Hardisleben House 2;Landkreis Sömerda, Germany;Germany;;18.06x6.39;CWC;CWC;CWC;CWC;115.4;Friederich 2019
Hardisleben House 3;Landkreis Sömerda, Germany;Germany;;15.28x6.67;CWC;CWC;CWC;CWC;101.92;Friederich 2019
Mienakker;;Netherlands;;6.11x3.56;CWC;CWC;CWC;CWC;21.75;Friederich 2019
Eulau House A;Burgenlandkreis, Germany;Germany;;10.6x3.2;CWC;CWC;CWC;CWC;33.92;Ganslmeier and Friederich 2019
Eulau House B;Burgenlandkreis, Germany;Germany;;12.2x4;CWC;CWC;CWC;CWC;48.8;Ganslmeier and Friederich 2019
Eulau House C;Burgenlandkreis, Germany;Germany;;6.5x2.2;CWC;CWC;CWC;CWC;14.3;Ganslmeier and Friederich 2019
Kieritz House 5;Landkreis Leipzig, Germany;Germany;2569-2349 cal BCE;;CWC;CWC;CWC;CWC (by date of cereal grain);53;Kretschmer and Herbig 2019
Altmügeln;Landkreis Nordsachsen, Germany;Germany;;7.25x6.5;CWC;CWC;CWC;CWC;47.13;Conrad 2019
