Grave_ID;Plate_number;object_type;object_simple;material;shape_type;description_detail;grave_fill;whole_item_count;part_count;length (mm);Width (mm);Height (mm);diameter (mm);wire thickness (mm);sheet thickness (mm);dimension ratio (compared to reference artefacts with reported weights);dimension_ratio_numeric;est_volume_mm3;conversion notes;weight of comparison artefact;"estimated weight (g, based on mean of measurements and mean of weight in similar objects, see ""Metal parallels"" sheet)";material correction (if reference object made from other metal);est_weight_g_whole_item;total_graves;total_material_grave;source_distance_km
143.1.7. Gr. 7;35:4;copper knife;knife;copper;sheet;"143.1.7.7. Copper knife (blade fragment. Patina marks, tool was set with the blunt side into handle. Pres. L - 52 mm; W - 18 mm)";;1;1;52;18;;;;1;0.044;0.044;936;52x18x1 = 936;162 (copper blade, 21460 mm3);7.07;not needed;7.07;413;54;200
143.1.7. Gr. 7;35:5;copper awl;awl;copper;bar;"143.1.7.8. Copper chisel-like awl. (L - 88 mm; W -7 mm.)";;1;1;88;7;3;;;;3.21;3.21;1848;88x7x3 = 264;2,59 (copper awl);10.3;not needed;10.3;413;54;200
155.1.4 Barrow 6 (VN 1);;gold hair ring (wire);ring;gold;wire;coiled of simple gold wire with overlapping ends;;1;1;;;;12;;;0.74;0.74;;;8,37 (gold hair-ring);6.19;not needed;6.19;413;3;695
155.1.4 Barrow 6 (VN 1);;copper awl;awl;copper;bar;pointed on both sides with rectangular cross section;;1;1;60;;;;;;1.28;1.28;;;2,59 (copper awl);3.31;not needed;3.31;413;54;200
155.1.4 Barrow 6 (VN 1);;copper object;scoop;copper;sheet;rectangular shape with pin-like handle;;1;1;14,94 and 34,86;3,32 and 8,3;;;3;;3.68;3.68;1016.8;148,8 (handle) and 868,0 (blade);1,03 (12x23x1 mm metal sheet, 276 mm3);3.8;not needed;3.8;413;54;200
173.1.4. Gr. 4;;copper hair decoration (wire);spiral;copper;wire;coiled of simple copper wire and overlapping ends, one of them pointed the other blunt;;1;1;;;;18;2-2,5;;0.85;0.85;;;3,9 (silver hair-ring, solid wire-based, mean diam. 21,1 mm);3.32;2.82;2.82;413;54;200
177.1.1 Grave 1 (VN 1);;copper hair decorations (wire);spiral;copper;wire;simple copper wire coiled to form spiral of 5 threads, with one pointed end and one end hammered flat;;1;2;32/35;;;19-20;2-3 mm;;0.92;0.92;;;3,9 (silver hair-ring, solid wire-based, mean diam. 21,1 mm);3.6;3.05;3.05;413;54;200
177.1.1 Grave 1 (VN 1);;copper necklace;tube;copper;wire;eight strongly corroded tubes made of simple copper wire coiled to form spirals;;1;8;15-54;;;6-8;2;;7.78;7.78;10997.36;"based on drawing measurements, see ""complex objects measurement"" sheet";4,79 (copper wire bracelet, single coil);37.27;not needed;37.27;413;54;200
177.1.1 Grave 1 (VN 1);;triple copper bracelet 1a (tubular parts);tube;copper;sheet;tubes/cylinders;;0.5;60;;;12-18 (mean 15);5-9 (mean 7);;1;0.38;0.38;105;;1,03 (12x23x1 mm metal sheet, 276 mm3);0,39 (per piece) x 60 pieces = 23,4;;23.4;413;54;200
177.1.1 Grave 1 (VN 1);;triple copper bracelet 1b (rectangular parts);folded;copper;sheet;copper sheet decorations are of rectangular shape, their ends are folded;;0.5;24;c. 31 (surface height 20-22 (mean 21) + folded ends (10 mm);15-17 (mean 16);;;;1;1.8;1.8;496;;1,03 (12x23x1 mm metal sheet, 276 mm3);1,85 (per piece) x 24 pieces = 44,4;;44.4;413;54;200
197.1.1;;copper razor;razor;copper;sheet;grave fill;TRUE;1;1;75;17.5;;;;1.5;0,41 and 0,3 (mm3: 0,09);;1969;75x17,5x1,5 = 1969;162 (copper blade, 21460 mm3);14,58 (based on mm3 volume);not needed;14.58;413;54;200
198.1.1. Gr. 1;;copper hair decoration (wire);spiral;copper;wire;simple wire wound in a five-fold spiral. One end pointed, the other frayed;;1;1;28;;;;3;;1.33;1.33;;;3,9 (silver hair-ring, solid wire-based, mean diam. 21,1 mm);5.19;not needed;5.19;413;54;200
232.1.1 Grave 5 (VN 1);80:12;copper knife;knife;copper;sheet;"sheet copper knife (upper part bent outwards. L - 61 mm; W - 14.5 mm)";;1;1;61 (max), mean = 59 mm;14.5;;;;1 (guess);0.04;0.04;855.5;59x14.5x1 = 855.5;162 (copper blade, 21460 mm3);6.48;;6.48;413;54;200
232.1.1 Grave 5 (VN 1);80:11;copper awl;awl;copper;bar;copper awl (chisel-like, L - 57 mm, butt L - 10 mm);;1;1;57+10 (butt);3 (mean of 4 drawing measurements);1.8 (from drawing);;;;0.628;0.628;361.8;67x3x1.8 = 361.8;2.59;1.63;;1.63;413;54;200
232.1.1 Grave 5 (VN 1);80:10;copper bead;bead;copper;sheet;"small copper bead (rolled from narrow sheet. L - 4 mm; diameter - 2 mm)";;1;1;4;;;2;;0.5;0.046;0.046;12.56;6.28 (circumference) x 4x0.5 = 12.56;;0.57;not needed;0.57;413;54;200
232.1.1 Grave 5 (VN 1);NA;copper sheet;sheet;copper;sheet;small copper sheet fragments (no info);;1;2;3 (guess);2 (guess);1 (guess);;;;aktivguld.com calculator (on pure silver);;;;;0.05 (per piece, 0.1 g assuming 2 pieces);corrected weight given;0.1;413;54;200
281.1.1. Gr. 1;;copper decoration (coloration);spiral;copper;wire;only as coloration on temporal bone;;1;1;;;;;;;NA;;;;mean of weight estimates of preserved copper rings in this study;NA;3.67;3.67;413;54;200
314.1.2. Gr. 2;;"copper ""ring"" (deteriorated)";ring;copper;wire;deteriorated;;1;1;;;;;;;NA;;;;mean of weight estimates of preserved copper rings in this study;NA;3.67;3.67;413;54;200
368.1.1 Grave 1;;4 copper beads;bead;copper;wire;"1 large bead of thin copper wire coiled in oval, overlapping ends, L - 5 mm; diameter -7x10 mm - 2 small beads coiled from narrow thin copper band, 3rd bead disintegrated when skull was cleaned";;1;4;3,6-4,5 (mean 4,1) and 5-6,5 (mean 5,8);;13, 18, and 26 (circumference calculated from diameter);4,15, 5,81, and 8,3;1 and 1,7;;1.39;1.39;383;4.1x13 = 53 + 4.1x18 = 74 + 5,8x26x1,7 = 256, total = 383;1,03 (12x23x1 mm metal sheet, 276 mm3);1.43;not needed;1.43;413;54;200
368.1.1 Grave 1;;copper ring (wire);ring;copper;flat wire;oval shape, of flat beaten wire with overlapping ends, one of them pointed;;1;1;;4-5;;20,5/24 (mean 22,25);1.5;;1.05;1.05;;;3,9 (silver hair-ring, solid wire-based, mean diam. 21,1 mm);4.1;3.48;3.48;413;54;200
58.1.1. Gr. 1;;copper awl;awl;copper;bar;points on both sides, rectangular cross section, set in bone handle of unidentified sheep/goat bone;;1;1;62 and 45 (bone handle);;;;;;1.32;1.32;;;2,59 (copper awl);3.42;not needed;3.42;413;54;200
97.1.1 Grave 1 (VN 1);;copper sheet;sheet;copper;sheet;thin slightly bent strip of copper;;1;1;40;5 (measured from drawing (2:3 ratio);;;;;0.73;0.73;200;;1,03 (12x23x1 mm metal sheet, 276 mm3);0.75;not needed;0.75;413;54;200
97.1.1 Grave 1 (VN 1);;copper needle;needle;copper;wire;fragment, circular cross section, in grave fill;TRUE;1;1;23 (preserved length);;;;1,2;;0.49;0.49;;;2,59 (copper awl);1.27;not needed;1.27;413;54;200
Hos_801;;copper wire ring;ring;copper;wire;;;1;1;;;;16 (= circumference 50,26);1,75 (measured from drawing);;0.76;0.76;120.89;cylinder volume formula πr2h;1,75 (small circular copper wire earring);1.33;not needed;1.33;413;54;200
Hos_838;;copper wire neck ring;neck ring;copper;thick wire;broken in 2 pieces;;1;1;;;;495 (reported as length in catalogue);1-2,5 (mean 1,75);;0.62;0.62;1190.62;cylinder volume formula πr2h;21,15 (massive thick earring, 1920,89 mm3);13.11;not needed;13.11;413;54;200
Hos_838;;copper spiral (long, incl. fragments);spiral;copper;wire;5+5+1,5+4 = 15,5 ring shapes including fragments so objects 1-4 in catalogue);;1;1;;;;15-17 (mean 16), circumference 50,26 x 15,5 ring shapes = 779;1, 1,5, 1, 2 (mean 1,375);;7.29;7.29;1156.73;cylinder volume formula πr2h;1,75 (small circular wire ring, 158,75 mm3);12.76;not needed;12.76;413;54;200
Iv3_2_805;;copper spiral (semi-long, whole);spiral;copper;wire;one end split;;1;1;;;;17 (circumference 53.4, x 4,25 ring shapes = 226,95);1.5;;2.53;2.53;401.05;cylinder volume formula πr2h;1,75 (small circular wire ring, 158,75 mm3);4.43;not needed;4.43;413;54;200
Iv3_2_809;;copper tubes;tube;copper;sheet;"fragments of probably same tube, see ""complex objects measurements"" sheet";;1;1;;;;"see ""complex objects measurements"" sheet";;;3.42;3.42;942.63;rectangular volume formula (LxWxH);1,03 (12x23x1 mm metal sheet, 276 mm3);3.52;not needed;3.52;413;54;200
Iv4_800;;copper spiral (fragmented);spiral;copper;wire;3,5+2,5+1,25 = 7,25 ring shapes;;1;1;;;;13, 14,14 (mean 13,33, circumference 41,88) x 7,25 = 303,63;1,5 (all fragments);;3.38;3.38;536.55;;1,75 (small circular wire ring, 158,75 mm3);5.92;not needed;5.92;413;54;200
Iv4_810;;copper spiral;spiral;copper;wire;3,5 ring shapes;;1;1;;;;26 (circumference 81,68 x 3,5 ring shapes = 285,88);1;;1.41;1.41;224.52;cylinder volume formula πr2h;1,75 (small circular wire ring, 158,75 mm3);2.48;not needed;2.48;413;54;200
Iv4_810;;copper object;sheet;copper;sheet;unclassified, flat;;1;1;9;5;;;1;;0.16;0.16;45;rectangular volume formula (LxWxH);1,03 (12x23x1 mm metal sheet, 276 mm3);0.17;not needed;0.17;413;54;200
