object_description;object_simple;reference;shape_category;material object type;material;weight_g;height_length_mm;width_mm;thickness_mm_diam.;shafthole_diam;height/width (ie. diameters) mean (rings);circumferencemm3  (calculated from mean diameter);volume_mm3_description;volume_mm3
Solid, round, silver hair-ring /Lockenring/ in bad condition (corroded). Weight: 3.9 g. h.: 2.16 cm, w.: 2.06 cm. (Fig. 4. 3);hair-ring;(Dani and Nepper 2006 East Hungarian EBA Yamnaya tumuli);wire;silver hair-ring (solid, round, corroded);silver;3.9;21.6;20.6;1.5 (guess);;21.1;349.667;617.9;618
"Solid, thick, somewhat oval, silver hair-ring /Lockenring/. Weight: 10.1 g, h.:1.67 cm, w.: 1.45 cm; (Fig. 5. 4)";hair-ring;(Dani and Nepper 2006 East Hungarian EBA Yamnaya tumuli);wire;silver hair-ring (solid, thick);silver;10.1;16.7;14.5;2 (guess);;15.6;191.1345;600.5;601
Hollow, oval hair-ring /Lockenring/ bent from a gold sheet. Weight: 6.1 g. h.: 2.25 cm, w.: 1.96 cm. (Fig. 4. 2);hair-ring;(Dani and Nepper 2006 East Hungarian EBA Yamnaya tumuli);sheet;gold hair-ring (hollow, oval, sheet);gold;6.1;22.5;19.6;1.5 (guess);;21.05;348.012;615;615
Solid, prolate gold hair-ring /Lockenring/. Weight: 8.37 g. h.: 1.8 cm, w.: 1.43 cm. (Fig. 5. 3);hair-ring;(Dani and Nepper 2006 East Hungarian EBA Yamnaya tumuli);wire;gold hair-ring (solid, prolate);gold;8.37;18;14.3;1.5 (guess);;16.15;204.8495;362;362
Willow leaf shaped copper dagger with spiked grasp. Weight: 202.5g, h.: 22.77 cm, largest w.: 3.7 cm, largest th.: 0.57 cm. (Fig. 5.7);dagger;(Dani and Nepper 2006 East Hungarian EBA Yamnaya tumuli);sheet;copper dagger;copper;202.5;227.7;37;5.7;;;;48021.9;48022
Knob ended copper axe with handle-tube. There are three coils made up of plastic ribs running from the upper part of the handle-hole to the start of the handle-tube, intersecting each other at the handle-tube. Weight: 308.43 g;axe;(Dani and Nepper 2006 East Hungarian EBA Yamnaya tumuli);cast;copper axe;copper;308.43;height 154.5;largest w.: 28, edge w.: 27.5;29.4;16.5-17 (top) and 18.3-19 (bottom);18.65;;125641-7649 (hole) = 117992;117992
"copper pin - length = 48 mm, thickness = 3 mm, diameter of the head = 11 mm, diameter of the perforation = 3 mm; weight 4,39 g; typology: the Megyaszó type";pin;Balanica 2019 (West Yamnaya metal);bar;copper-tin pin (with bulged, perforated head);copper-tin;4.39;37.7+10 (pinhead) mm;;(pin) 3, (pin head) 11, (perforation diam.) 3;;;;266.5+633.8 (minus holes c. 45% empty) 288.1 = 554.6;554.6
"copper awl - length = 47 mm, width and thickness = 3-4 mm; weight 2.59 g; typology: awl with straight end";awl;Balanica 2019 (West Yamnaya metal);bar;copper awl;copper;2.59;47;3-4;;;;;47x3.5x3.5 = 576;576
"fragmentary copper awl, square cross-section; length = 28 mm, thickness = 3-4 mm; weight 2.10 g";awl;Balanica 2019 (West Yamnaya metal);bar;copper awl (fragmented);copper;2.1;28;3-4;;;;;28x3.5x3.5 = 343;343
metal (copper?) blade - length 23.5 cm, a maximum width 8.15 cm, and a weight of 268.97 g.;blade;Popescu and Frinculeasa 2016 metal blades EBA lower Danube;cast;copper(?) blade;copper;268.97;235;81.5;5 (estimate based on copper dagger);;;;95763;95763
"copper (98,9%), arsenic (0.3%), (minimal lead and silver) blade - triangular  in  shape,  with  a  slightly  asymmetrical  aspect,  sharp  cutting‐edges  and  a  prominent V‐shaped midrib (Fig. 1/2; 6/a‐b). On the edge of  the  hafting‐plate  there  are  ";blade;Popescu and Frinculeasa 2016 metal blades EBA lower Danube;cast;copper blade;copper;205.25;198;77;5 (estimate based on copper dagger);;;;76230;76230
"Bronze (6.3% tin) blade is triangular, with sharp cutting‐edges and a  pronounced  V‐shaped  midrib.  The  rounded  butt  is damaged, and  if  the  rivet  holes ever existed,  they were not  preserved  (Fig.  1/1;  5/a‐e).  The  artefact  is  slightly asy";blade;Popescu and Frinculeasa 2016 metal blades EBA lower Danube;cast;bronze blade (6,3% tin);bronze;258;255;77;5 (estimate based on copper dagger);;;;95762.5;95762.5
copper blade  length  18.5  cm,  maximum width of 5.8 cm and a weight of 162 g;blade;Popescu and Frinculeasa 2016 metal blades EBA lower Danube;cast;copper blade;copper;162;185;58;2 (estimate);;;;21460;21460
Single-coil copper wire bracelet (open shape);bracelet, wire;Wilk and Garbacz-Klempka 2017 Eneolithic Poland;wire;copper wire bracelet;copper;4.79;;open bracelet ring shape, diameter not useful;3-2 (mean 2,5);;;135 (estimated circumference of whole wire from drawing measurement);662,68 (cylinder volume formula πr2h);662.68
Small circular (wire) earring;earring, wire;Wilk and Garbacz-Klempka 2017 Eneolithic Poland;wire;copper wire earring;copper;1.75;;22-20 (mean 21, diameter of whole ring);2-1,5 (mean 1,75);;;66 (circumference of diameter of whole ring);158,75 (cylinder volume formula πr2h);158.75
A massive wire earring;earring, wire;Wilk and Garbacz-Klempka 2017 Eneolithic Poland;wire;copper wire earring;copper;21.15;;87-86 (mean 86,5, diameter of whole ring);4-2 (mean 3);;;271.75;1920,89 (cylinder volume formula πr2h);1920.89
A bead made of a rolled piece of metal sheet;bead, sheet;Wilk and Garbacz-Klempka 2017 Eneolithic Poland;sheet;copper bead rolled;copper;0.41;12;6-7 (mean 6,5);1;;;20;240;240
Bead made of a rolled piece of metal sheet (in three pieces);bead, sheet;Wilk and Garbacz-Klempka 2017 Eneolithic Poland;sheet;copper bead rolled;copper;1.03;12;7-8 (mean 7,5);1;;;23;276;276
